tweet_id,check_worthiness,score,tweet_text,reasoning
1235305149981130757,1,0.0,". @realDonaldTrump  acted swiftly to limit travel to & from the affected regions, to quarantine Americans that had been to those regions, and to deny entry to foreign nationals from those regions. Those actions have proven critical for slowing spread of the #coronavirus to the U.S. <link>","{'score': 0,'reasoning': 'The tweet is not check-worthy because it is not a verifiable factual claim. The tweet is expressing an opinion about the actions taken by the President of the United States, Donald Trump, in response to the coronavirus outbreak. The tweet is not stating a fact that can be verified, but rather an opinion about the effectiveness of the actions taken. Additionally, the tweet is not harmful to the society, certain people, companies or products, and it does not appear to contain false information.'}"
1235279506648248321,1,0.0,"Today’s bipartisan, bicameral agreement on a $8.3 billion emergency #coronavirus response funding package will allow us to deliver the coordinated, whole-of-government response needed to keep Americans safe.",The tweet is a statement of a political agreement and does not contain a verifiable factual claim.
1236549305189597189,1,0.0,"1/25 Part 1 - Why does soap work so well on the SARS-CoV-2, the coronavirus and indeed most viruses? Because it is a self-assembled nanoparticle in which the weakest link is the lipid (fatty) bilayer. A two part thread about soap, viruses and supramolecular chemistry #COVID19 https://t.co/OCwqPjO5Ht",The tweet does not contain a verifiable factual claim. It is a question and an explanation about soap and viruses. It does not contain a claim that can be fact-checked.
1237048775526547456,1,0.0,"SEEN IN KIGALI: To prevent the risk of #Coronavirus outbreak, passengers at the Kigali Bus Park have to wash their hands before getting onto buses. #Rwanda has recorded NO case of the epidemic but the country has stepped up vigilance. https://t.co/tb7cfUNj7K",The tweet does not contain a verifiable factual claim. The tweet is stating that passengers in Kigali are washing their hands before getting on buses to prevent the risk of Coronavirus outbreak. This is a good practice and it is not check-worthy.
1236790504249057280,1,0.0,.@SenSchumer &amp; I are demanding that the Trump Administration prioritize the health and safety of American workers and their families over corporate interests. #coronavirus https://t.co/S8TuwaHQeM,This tweet is not check-worthy because it is an opinion and not a verifiable factual claim.
1236937893798707201,1,0.0,"I wanted detailed Covid-19 data, but had a hard time finding numbers without accompanying media bias. I collected it myself, and am sharing here. In this thread: - Incubation Time - Symptom Occurrence - Transmission Rates - First 20 US cases by date and location (cont'd)","The tweet does not contain a verifiable factual claim. The user is sharing their personal experience of collecting and sharing Covid-19 data, and expressing difficulty in finding unbiased information. There is no specific factual claim made in the tweet that requires fact-checking."
1236906182796644353,1,0.0,"At a S. Korean gov't briefing on COVID-19 response: ""The gov't is covering the financial costs for related testing and treatment instead of saddling individuals with those expenses. The gov't is also reimbursing medical facilities for losses incurred from imposed quarantines.""",The tweet is a statement of government policy and does not contain a verifiable factual claim.
1237583668073369600,1,0.0,Chuck Schumer calls @realDonaldTrump incompetent over his handling of the Corona Virus... But Gavin Newsom is singing Trump's praises! #Trumpin #supertuesday2 https://t.co/8g0vsYeACU,This tweet is not check-worthy because it is a political opinion and not a verifiable factual claim.
1237235176452706304,1,0.0,"We don’t yet have all the tools we need to fight COVID-19. This is an important step toward having treatments, while we also explore vaccines and diagnostics. Thanks to @wellcometrust and @mastercard for launching this effort with us. https://t.co/M8AJ3083zK",The tweet is a statement of intent and does not contain a verifiable factual claim.
1237003634036129793,1,0.0,Doctor who treated first US case of #coronavirus says patients with mild symptoms can recover at home https://t.co/ZYTWx7IG4y,"The tweet does not contain a verifiable factual claim. It is a statement about a doctor's recommendation for patients with mild symptoms of coronavirus, but it does not contain a specific factual claim that can be verified."
