sentence_id,prediction,score,reasoning,Verdict
32725,0.0,0,,1.0
2316,0.0,0,,1.0
14952,0.0,0,,1.0
30363,0.0,0,,1.0
27647,0.0,0,,1.0
11708,0.0,0,,1.0
25328,0.0,0,,1.0
24938,0.0,0,,1.0
27454,0.0,0,,1.0
13106,0.0,0,,1.0
1591,0.0,0,,1.0
8760,0.0,0,,1.0
21602,0.0,0,,1.0
32437,0.0,0,,1.0
5730,0.0,0,,1.0
14601,0.0,0,,1.0
25195,0.0,0,,1.0
106,0.0,0,,1.0
228,0.0,0,,1.0
2909,0.0,0,,1.0
34042,0.0,0,,1.0
30096,0.0,0,,1.0
32088,0.0,0,,1.0
358,0.0,0,,1.0
7791,0.0,0,,1.0
27196,0.0,0,,1.0
2943,0.0,0,,1.0
2217,0.0,0,,1.0
7351,0.0,0,,1.0
27956,0.0,0,,1.0
16014,0.0,0,,1.0
12695,0.0,0,,1.0
34151,0.0,0,,1.0
24439,0.0,0,,1.0
32440,0.0,0,,1.0
13953,0.0,0,,1.0
1368,0.0,0,,1.0
3666,0.0,0,,1.0
10708,0.0,0,,1.0
27914,0.0,0,,1.0
7846,0.0,0,,1.0
2347,0.0,0,,1.0
15625,0.0,0,,1.0
6908,0.0,0,,1.0
15398,0.0,0,,1.0
12220,0.0,0,,1.0
11034,0.0,0,,1.0
10648,0.0,0,,1.0
8872,0.0,0,,1.0
20530,0.0,0,,1.0
27822,0.0,0,,1.0
3976,0.0,0,,1.0
13693,0.0,0,,1.0
7159,0.0,0,,1.0
23820,0.0,0,,1.0
29497,0.0,0,,1.0
10620,0.0,0,,1.0
13963,0.0,0,,1.0
10523,0.0,0,,1.0
7693,0.0,0,,1.0
13192,0.0,0,,1.0
16463,0.0,0,,1.0
25564,0.0,0,,1.0
26922,0.0,0,,1.0
4307,0.0,0,,1.0
12407,0.0,0,,1.0
3710,0.0,0,,1.0
14314,0.0,0,,1.0
822,0.0,0,,1.0
24411,0.0,0,,1.0
11012,0.0,0,,1.0
14387,0.0,0,,1.0
32599,0.0,0,,1.0
18728,0.0,0,,1.0
14955,0.0,0,,1.0
21847,0.0,0,,1.0
2952,0.0,0,,1.0
16499,0.0,0,,1.0
6952,0.0,0,,1.0
8999,0.0,0,,1.0
32040,0.0,0,,1.0
27366,0.0,0,,1.0
913,0.0,0,,1.0
9226,0.0,0,,1.0
8874,0.0,0,,1.0
2489,0.0,0,,1.0
15459,0.0,0,,1.0
3998,0.0,0,,1.0
26259,0.0,0,,1.0
19844,0.0,0,,1.0
8375,0.0,0,,1.0
13734,0.0,0,,1.0
2964,0.0,0,,1.0
32271,0.0,0,,1.0
33446,0.0,0,,1.0
15974,0.0,0,,1.0
34264,0.0,0,,1.0
33716,0.0,0,,1.0
27928,0.0,0,,1.0
27179,0.0,0,,1.0
24294,0.0,0,,1.0
11111,0.0,0,,1.0
26485,0.0,0,,1.0
6048,0.0,0,,1.0
33200,0.0,0,,1.0
29511,0.0,0,,1.0
3154,0.0,0,,1.0
18800,0.0,0,,1.0
18096,0.0,0,,1.0
2612,0.0,0,,1.0
24500,0.0,0,,1.0
27062,0.0,0,,1.0
26073,0.0,0,,1.0
22887,0.0,0,,1.0
1668,0.0,0,,1.0
10060,0.0,0,,1.0
22891,0.0,0,,1.0
6079,0.0,0,,1.0
12698,0.0,0,,1.0
13012,0.0,0,,1.0
20757,0.0,0,,1.0
33571,0.0,0,,1.0
7746,0.0,0,,1.0
25882,0.0,0,,1.0
29965,0.0,0,,1.0
12014,0.0,0,,1.0
30054,0.0,0,,1.0
2336,0.0,0,,1.0
34131,0.0,0,,1.0
6977,0.0,0,,1.0
1086,0.0,0,,1.0
23352,0.0,0,,1.0
5608,0.0,0,,1.0
32764,0.0,0,,1.0
19660,0.0,0,,1.0
7309,0.0,0,,1.0
9074,0.0,0,,1.0
26613,0.0,0,,1.0
27551,0.0,0,,1.0
14673,0.0,0,,1.0
4005,0.0,0,,1.0
29502,0.0,0,,1.0
4038,0.0,0,,1.0
23175,0.0,0,,1.0
15093,0.0,0,,1.0
28944,0.0,0,,1.0
2009,0.0,0,,1.0
14473,0.0,0,,1.0
25504,0.0,0,,1.0
16154,0.0,0,,1.0
23456,0.0,0,,1.0
27122,0.0,0,,1.0
16701,0.0,0,,1.0
25503,0.0,0,,1.0
29695,0.0,0,,1.0
14759,0.0,0,,1.0
12712,0.0,0,,1.0
10888,0.0,0,,1.0
33223,0.0,0,,1.0
23332,0.0,0,,1.0
24335,0.0,0,,1.0
13340,0.0,0,,1.0
13184,0.0,0,,1.0
13772,0.0,0,,1.0
21450,0.0,0,,1.0
3726,0.0,0,,1.0
3564,0.0,0,,1.0
33386,0.0,0,,1.0
2432,0.0,0,,1.0
1343,0.0,0,,1.0
25537,0.0,0,,1.0
9450,0.0,0,,1.0
8688,0.0,0,,1.0
31937,0.0,0,,1.0
730,0.0,0,,1.0
29272,0.0,0,,1.0
27440,0.0,0,,1.0
3958,0.0,0,,1.0
5951,0.0,0,,1.0
20230,0.0,0,,1.0
23329,0.0,0,,1.0
30233,0.0,0,,1.0
22188,0.0,0,,1.0
5872,0.0,0,,1.0
29223,0.0,0,,1.0
6870,0.0,0,,1.0
5568,0.0,0,,1.0
5703,0.0,0,,1.0
19715,0.0,0,,1.0
14256,0.0,0,,1.0
15117,0.0,0,,1.0
33412,0.0,0,,1.0
15042,0.0,0,,1.0
27592,0.0,0,,1.0
24441,0.0,0,,1.0
26019,0.0,0,,1.0
15209,0.0,0,,1.0
27811,0.0,0,,1.0
29313,0.0,0,,1.0
201,0.0,0,,1.0
14474,0.0,0,,1.0
16024,0.0,0,,1.0
10130,0.0,0,,1.0
6748,0.0,0,,1.0
1224,0.0,0,,1.0
20267,0.0,0,,1.0
19415,0.0,0,,1.0
8976,0.0,0,,1.0
13925,0.0,0,,1.0
25509,0.0,0,,1.0
33831,0.0,0,,1.0
10875,0.0,0,,1.0
23414,0.0,0,,1.0
465,0.0,0,,1.0
574,0.0,0,,1.0
6786,0.0,0,,1.0
16764,0.0,0,,1.0
20466,0.0,0,,1.0
32664,0.0,0,,1.0
9018,0.0,0,,1.0
33022,0.0,0,,1.0
3457,0.0,0,,1.0
32908,0.0,0,,1.0
7820,0.0,0,,1.0
32350,0.0,0,,1.0
31962,0.0,0,,1.0
18240,0.0,0,,1.0
14448,0.0,0,,1.0
25315,0.0,0,,1.0
17550,0.0,0,,1.0
10863,0.0,0,,1.0
27084,0.0,0,,1.0
27076,0.0,0,,1.0
19659,0.0,0,,1.0
4209,0.0,0,,1.0
11704,0.0,0,,1.0
30174,0.0,0,,1.0
2900,0.0,0,,1.0
4240,0.0,0,,1.0
13419,0.0,0,,1.0
2381,0.0,0,,1.0
23641,0.0,0,,1.0
23445,0.0,0,,1.0
19757,0.0,0,,1.0
23971,0.0,0,,1.0
25071,0.0,0,,1.0
25299,0.0,0,,1.0
33930,0.0,0,,1.0
31932,0.0,0,,1.0
19848,0.0,0,,1.0
16657,0.0,0,,1.0
24127,0.0,0,,1.0
21629,0.0,0,,1.0
13513,0.0,0,,1.0
19513,0.0,0,,1.0
22724,0.0,0,,1.0
33528,0.0,0,,1.0
23150,0.0,0,,1.0
12928,0.0,0,,1.0
13602,0.0,0,,1.0
13921,0.0,0,,1.0
29792,0.0,0,,1.0
8200,0.0,0,,1.0
26988,0.0,0,,1.0
28132,0.0,0,,1.0
18338,0.0,0,,1.0
33867,0.0,0,,1.0
3532,0.0,0,,1.0
24429,0.0,0,,1.0
3337,0.0,0,,1.0
14591,0.0,0,,1.0
11428,0.0,0,,1.0
14106,0.0,0,,1.0
24928,0.0,0,,1.0
12164,0.0,0,,1.0
9935,0.0,0,,1.0
28469,0.0,0,,1.0
10854,0.0,0,,1.0
26627,0.0,0,,1.0
19434,0.0,0,,1.0
8899,0.0,0,,1.0
25941,0.0,0,,1.0
27535,0.0,0,,1.0
32536,0.0,0,,1.0
16778,0.0,0,,1.0
1932,0.0,0,,1.0
24593,0.0,0,,1.0
13966,0.0,0,,1.0
10185,0.0,0,,1.0
18431,0.0,0,,1.0
6176,0.0,0,,1.0
1049,0.0,0,,1.0
11995,0.0,0,,1.0
5862,0.0,0,,1.0
7600,0.0,0,,1.0
27825,0.0,0,,1.0
10954,0.0,0,,1.0
17322,0.0,0,,1.0
6829,0.0,0,,1.0
13894,0.0,0,,1.0
5514,0.0,0,,1.0
12271,0.0,0,,1.0
2485,0.0,0,,1.0
16617,0.0,0,,1.0
29282,0.0,0,,1.0
23138,0.0,0,,1.0
9606,0.0,0,,1.0
27450,0.0,0,,1.0
6346,0.0,0,,1.0
22163,0.0,0,,1.0
27741,0.0,0,,1.0
29326,0.0,0,,1.0
27770,0.0,0,,1.0
1978,0.0,0,,1.0
16707,0.0,0,,1.0
19387,0.0,0,,1.0
24377,0.0,0,,1.0
32155,0.0,0,,1.0
12114,0.0,0,,1.0
19868,0.0,0,,1.0
27673,0.0,0,,1.0
32469,0.0,0,,1.0
27228,0.0,0,,1.0
13917,0.0,0,,1.0
1412,0.0,0,,1.0
5626,0.0,0,,1.0
30097,0.0,0,,1.0
14179,0.0,0,,1.0
19309,0.0,0,,1.0
24135,0.0,0,,1.0
3131,0.0,0,,1.0
6860,0.0,0,,1.0
14318,0.0,0,,1.0
22913,0.0,0,,1.0
30160,0.0,0,,1.0
15166,0.0,0,,1.0
27627,0.0,0,,1.0
18687,0.0,0,,1.0
21717,0.0,0,,1.0
8124,0.0,0,,1.0
12414,0.0,0,,1.0
20085,0.0,0,,1.0
27176,0.0,0,,1.0
20109,0.0,0,,1.0
2018,0.0,0,,1.0
6112,0.0,0,,1.0
21804,0.0,0,,1.0
30340,0.0,0,,1.0
34259,0.0,0,,1.0
1940,0.0,0,,1.0
8420,0.0,0,,1.0
5576,0.0,0,,1.0
32808,0.0,0,,1.0
20839,0.0,0,,1.0
26961,0.0,0,,1.0
12251,0.0,0,,1.0
24998,0.0,0,,1.0
15410,0.0,0,,1.0
14933,0.0,0,,1.0
34170,0.0,0,,1.0
3357,0.0,0,,1.0
32877,0.0,0,,1.0
32182,0.0,0,,1.0
14022,0.0,0,,1.0
14419,0.0,0,,1.0
20107,0.0,0,,1.0
12814,0.0,0,,1.0
3132,0.0,0,,1.0
11208,0.0,0,,1.0
15539,0.0,0,,1.0
19734,0.0,0,,1.0
1111,0.0,0,,1.0
1387,0.0,0,,1.0
21384,0.0,0,,1.0
27910,0.0,0,,1.0
14273,0.0,0,,1.0
17396,0.0,0,,1.0
19551,0.0,0,,1.0
7136,0.0,0,,1.0
11857,0.0,0,,1.0
34006,0.0,0,,1.0
13619,0.0,0,,1.0
14646,0.0,0,,1.0
31939,0.0,0,,1.0
17394,0.0,0,,1.0
10930,0.0,0,,1.0
14295,0.0,0,,1.0
29041,0.0,0,,1.0
25924,0.0,0,,1.0
27057,0.0,0,,1.0
16857,0.0,0,,1.0
34346,0.0,0,,1.0
12904,0.0,0,,1.0
24995,0.0,0,,1.0
5550,0.0,0,,1.0
30020,0.0,0,,1.0
3021,0.0,0,,1.0
24821,0.0,0,,1.0
11000,0.0,0,,1.0
33216,0.0,0,,1.0
27691,0.0,0,,1.0
33730,0.0,0,,1.0
24757,0.0,0,,1.0
2510,0.0,0,,1.0
28967,0.0,0,,1.0
27393,0.0,0,,1.0
